outer_postcode,region,lat,long
DY9,DY,52.4332395319905,-2.12248445616114
RH19,RH,51.1256334187103,-0.014270302452316
SA42,SA,52.0154629673202,-4.85265492810458
NE46,NE,54.979078253911,-2.10769077737665
CA24,CA,54.5154615263158,-3.54353415789474
SO45,SO,50.8468635785124,-1.39480411880165
PA10,PA,55.8328795496183,-4.55143595419847
DN15,DN,53.6144378456032,-0.65215124233129
CA19,CA,54.3869101044776,-3.38389965671642
DE24,DE,52.8892060026246,-1.45299240507436
SK17,SK,53.2445910374787,-1.88120556643952
KY8,KY,56.197262472449,-3.01261970510204
BS35,BS,51.5977589069767,-2.54885009819121
KW12,KW,58.5055263958333,-3.4926856875
LS12,LS,53.7912247285836,-1.59727493299406
LL57,LL,53.2069290044642,-4.11188855691964
NW11,NW,51.5784282692308,-0.197467481351981
B80,B,52.2735001980676,-1.8922316763285
NR12,NR,52.7597595758241,1.47189725494505
M7,M,53.5055126923077,-2.2625273559322
PH18,PH,56.7732443260869,-3.89046493478261
SN16,SN,51.5924755839844,-2.08573058789062
BS24,BS,51.3302230172956,-2.9293852154088
S17,S,53.3213068743316,-1.52894203743315
DY6,DY,52.4984350993197,-2.16451454557823
BL5,BL,53.5481913552238,-2.51544962985075
PE30,PE,52.7596760891667,0.416533363333333
HU13,HU,53.7255622941176,-0.438555323529412
LN11,LN,53.3730972366345,0.026203833479404
SO43,SO,50.8862284057971,-1.58933275362319
HU14,HU,53.7282203534883,-0.499456655813953
YO11,YO,54.2642246167107,-0.396475960212203
BN14,BN,50.8340343710106,-0.381714752659575
ST2,ST,53.0281237941953,-2.13543757915568
DT5,DT,50.5487979935691,-2.44251407073955
CM22,CM,51.8658025410156,0.22694543359375
BT46,BT,54.8654086134185,-6.66341708945687
LL26,LL,53.1394415094339,-3.78590039150943
SS2,SS,51.5509058,0.716783574285715
B47,B,52.3854677809917,-1.8801127107438
HP11,HP,51.6239804631381,-0.7454963610586
YO90,YO,53.9597086,-1.0902501
PA67,PA,56.3142040666667,-6.23137413333333
NR30,NR,52.6197989271592,1.72774470239334
EX36,EX,51.0165842926208,-3.79569787022901
WA7,WA,53.3305456791946,-2.70371404362416
WV4,WV,52.5613873080055,-2.14464701221167
HD5,HD,53.6474397888113,-1.74622286853147
TQ5,TQ,50.3917963151515,-3.52346478636364
CO4,CO,51.9091394204545,0.919700277097903
BH15,BH,50.7223734568764,-1.98497057109557
CM6,CM,51.8782923270719,0.365426404419889
EX2,EX,50.7095724070278,-3.51455483894583
E2,E,51.52960365625,-0.062597571875
KT8,KT,51.4015418321995,-0.363198163265306
CM14,CM,51.6187058439937,0.292124705148206
KW14,KW,58.58861404814,-3.55486210503282
TR4,TR,50.2857122318272,-5.1375713497053
BS40,BS,51.3465773943662,-2.69164595352112
EC2M,ECM,51.5185860965909,-0.086285585227273
NG11,NG,52.8991092689573,-1.17415311374407
GL3,GL,51.861933400209,-2.17609759038663
HP18,HP,51.8202753847306,-0.969498519461078
SN25,SN,51.5979226616916,-1.80872677238806
TS2,TS,54.5855387264957,-1.23729101709402
CA21,CA,54.4454361891892,-3.51642208108108
TR18,TR,50.117392225731,-5.5425106245614
LA11,LA,54.1999645034483,-2.92609930344827
IG8,IG,51.6096204363412,0.037572799752781
PL30,PL,50.501684517757,-4.72845097383178
NE6,NE,54.9774868379408,-1.56578574070543
EX37,EX,50.9785956030151,-3.95361601507538
S49,S,53.2350552222222,-1.434758
EX10,EX,50.6931726567342,-3.24662942550656
BN5,BN,50.9273423869863,-0.268871164383562
KA5,KA,55.5102741711492,-4.38783757212714
WC2E,WCE,51.5118698057143,-0.123363245714286
WD19,WD,51.6309205169867,-0.390753156573117
WS8,WS,52.647440523511,-1.93319756112853
DN18,DN,53.6810829215686,-0.447979215686275
EX33,EX,51.1152349945504,-4.17433644414169
DE65,DE,52.8669433639922,-1.61052368101761
LA4,LA,54.0702444986595,-2.85251803619303
GL2,GL,51.8431766090973,-2.27052583511016
BT45,BT,54.7600798531468,-6.63920704495505
BS21,BS,51.4350029094827,-2.84988822701149
EH20,EH,55.878826489083,-3.15726906550218
SL5,SL,51.4056449158135,-0.663891498293516
BT16,BT,54.5906792984694,-5.79717862755102
PO8,PO,50.9135994557261,-1.01160728335301
RG4,RG,51.4826218404472,-0.969713019308943
KW11,KW,58.3080421666667,-4.13620866666667
HP15,HP,51.6585060094563,-0.711734654846336
BT77,BT,54.42887854,-7.11840244
CH1,CH,53.2020355349905,-2.90888544475138
NR7,NR,52.6443849009901,1.33617099779978
EX20,EX,50.7518543842265,-4.01886589686552
EH26,EH,55.8333877080979,-3.22424406214689
SE22,SE,51.4544589169885,-0.072426040540541
GL5,GL,51.7381667801998,-2.22101348501362
EH34,EH,55.9082835977011,-2.88085970114942
EX12,EX,50.7068697318548,-3.08186764919355
PA14,PA,55.9273599779412,-4.66421790931373
NW8,NW,51.5322723649289,-0.174576944312796
PE34,PE,52.7250321720931,0.336937676744186
PO14,PO,50.8386736963762,-1.21926480509305
SA1,SA,51.6265697644412,-3.94038667891973
AB30,AB,56.8469436741214,-2.47774053354632
DL14,DL,54.6515292592592,-1.69204000172265
SG10,SG,51.8467628715596,0.075405082568807
BH12,BH,50.7373458256131,-1.92779180108992
LU2,LU,51.8932261997952,-0.394485307377049
S3,S,53.3874714494845,-1.47404230309278
PE25,PE,53.1540269336158,0.334226788135593
BD1,BD,53.7966881867472,-1.75453164859439
RH15,RH,50.9575166933175,-0.131053676610979
G40,G,55.8475529496221,-4.22099316624685
LL55,LL,53.1332687785326,-4.20358352717391
EH24,EH,55.8496927297297,-3.13691658108108
HP21,HP,51.8052764605809,-0.805871871369294
YO61,YO,54.1177091088957,-1.19573632515338
LL12,LL,53.0875235355505,-2.9891578233945
SO18,SO,50.9241241915789,-1.36207311789474
NW7,NW,51.6148558005181,-0.235174541450777
NE8,NE,54.9549544381868,-1.60657900824176
BL6,BL,53.5917884675324,-2.54082414985016
SO32,SO,50.9493255887231,-1.20274966666667
S11,S,53.3607446747721,-1.50792291641337
DH97,DH,54.792717,-1.53502
SA38,SA,52.0402045706806,-4.47653109947644
OX3,OX,51.7621942520576,-1.21176936111111
DE14,DE,52.8050017616582,-1.64297334326426
LS29,LS,53.9189664146545,-1.80078124063281
TS26,TS,54.6889559332298,-1.23264372049689
SW1P,SWP,51.4902457455049,-0.132716210235133
KA28,KA,55.7540519027778,-4.92533419444445
DE6,DE,52.9927692362417,-1.71809890067114
EH25,EH,55.8613963445378,-3.17464138655462
SE24,SE,51.4562941170569,-0.100249852842809
SG8,SG,52.064373217806,-0.014798408585056
PL8,PL,50.3353800814333,-4.01049383713355
EX5,EX,50.7561332165899,-3.43531318709677
NE64,NE,55.1846503369565,-1.5153990326087
W1T,WT,51.5202353606028,-0.136693066738429
G45,G,55.8049621016949,-4.23284130847458
HR5,HR,52.1965119008264,-3.03644980991736
IP24,IP,52.419815893979,0.757825850785341
KA16,KA,55.6075051428571,-4.32824147321428
WA15,WA,53.3845728087028,-2.32592223234811
BT57,BT,55.20342085,-6.51773247777778
B97,B,52.2994497487374,-1.95479082449496
PR7,PR,53.6485601869415,-2.6552824975945
G74,G,55.7688849008621,-4.17493968426724
OX15,OX,52.0302722273839,-1.41152284718827
PA28,PA,55.43760888,-5.60392881777778
CM12,CM,51.6282669043977,0.414483692160612
PH16,PH,56.7068692121212,-3.80700906926407
CV31,CV,52.2777339250936,-1.52464405867665
GU32,GU,51.0090301459459,-0.968219545945948
DN22,DN,53.3238122375416,-0.928440881229236
G33,G,55.8741409463781,-4.1652463678269
ML4,ML,55.8183373548951,-4.02146211363637
NE4,NE,54.973964784264,-1.64453346827411
BT33,BT,54.2233550131148,-5.89118593770492
IV11,IV,57.6772109772727,-4.03902993181818
BN11,BN,50.8135637906543,-0.377143431775703
RG30,RG,51.451136987526,-1.01479429417879
DE75,DE,53.0130368119403,-1.35423024776119
HG3,HG,54.0303292279029,-1.6184805372617
IV53,IV,57.3442850909091,-5.55469381818182
LD8,LD,52.2645503507853,-3.04820305235602
N1C,NC,51.5365149714286,-0.125765757142857
HR7,HR,52.1853707963637,-2.52386276727273
NE85,NE,54.93194825,-1.58474275
HU16,HU,53.7815105754923,-0.42186484463895
CF15,CF,51.5335577123015,-3.27203106150794
OL95,OL,53.556338,-2.105401
CF30,CF,51.5196265294118,-3.11956676470588
PA17,PA,55.8633334225352,-4.88527215492958
EH32,EH,55.9674736478599,-2.9508507003891
BH24,BH,50.8432362608696,-1.78840964099379
